Container stores 10000 plants:
bush: name = xfbfzzfpwiigklfku, length = 17, month = Month.JANUARY, Fraction = 0.17647058823529413
flower: name = medikpopo, length = 9, type = Type.HOME, Fraction = 0.4444444444444444
tree: name = rwsxoefrhwxmyyudaps, length = 19, age = 959, Fraction = 0.21052631578947367
bush: name = ka, length = 2, month = Month.SEPTEMBER, Fraction = 0.5
tree: name = spr, length = 3, age = 177, Fraction = 0.0
tree: name = zrwuxu, length = 6, age = 819, Fraction = 0.3333333333333333
flower: name = amnfzwzlqfjrya, length = 14, type = Type.HOME, Fraction = 0.14285714285714285
flower: name = nkxkpphhqcvacomatv, length = 18, type = Type.WILD, Fraction = 0.16666666666666666
flower: name = szyfvrfsgemh, length = 12, type = Type.GARDEN, Fraction = 0.08333333333333333
tree: name = fywggfmsw, length = 9, age = 1133, Fraction = 0.0
bush: name = o, length = 1, month = Month.MARCH, Fraction = 1.0
tree: name = zbuzehhhuhohlhmrxbp, length = 19, age = 1379, Fraction = 0.21052631578947367
flower: name = ml, length = 2, type = Type.GARDEN, Fraction = 0.0
flower: name = vlvipeb, length = 7, type = Type.GARDEN, Fraction = 0.2857142857142857
flower: name = ibpesthzsedymwcyacn, length = 19, type = Type.HOME, Fraction = 0.21052631578947367
tree: name = cbfndtptaruudqkkt, length = 17, age = 215, Fraction = 0.17647058823529413
flower: name = gjuqxqkdhmfconca, length = 16, type = Type.GARDEN, Fraction = 0.1875
tree: name = mhxeejycvgkobysg, length = 16, age = 1681, Fraction = 0.1875
tree: name = atoexoq, length = 7, age = 248, Fraction = 0.5714285714285714
tree: name = itipgmzlyag, length = 11, age = 1368, Fraction = 0.2727272727272727
bush: name = axljgikjpdpbd, length = 13, month = Month.MAY, Fraction = 0.15384615384615385
bush: name = mkkwxjjmobjgffc, length = 15, month = Month.NOVEMBER, Fraction = 0.06666666666666667
tree: name = yixakzdlf, length = 9, age = 1181, Fraction = 0.2222222222222222
tree: name = hpmajpmpbmww, length = 12, age = 150, Fraction = 0.08333333333333333
tree: name = bhe, length = 3, age = 1615, Fraction = 0.3333333333333333
tree: name = qi, length = 2, age = 1635, Fraction = 0.5
tree: name = tkiaq, length = 5, age = 1251, Fraction = 0.4
tree: name = nlh, length = 3, age = 764, Fraction = 0.0
bush: name = zzexjahrszytrvet, length = 16, month = Month.AUGUST, Fraction = 0.1875
bush: name = cidoef, length = 6, month = Month.AUGUST, Fraction = 0.5
bush: name = abjkzca, length = 7, month = Month.OCTOBER, Fraction = 0.2857142857142857
bush: name = xgxw, length = 4, month = Month.JANUARY, Fraction = 0.0
tree: name = lnfapwltuulzipiuraf, length = 19, age = 1864, Fraction = 0.3684210526315789
tree: name = qmh, length = 3, age = 1579, Fraction = 0.0
bush: name = aqqppkmzgssxjbvu, length = 16, month = Month.AUGUST, Fraction = 0.125
tree: name = qtlryhrxobfxfpo, length = 15, age = 1705, Fraction = 0.13333333333333333
flower: name = fadphc, length = 6, type = Type.GARDEN, Fraction = 0.16666666666666666
tree: name = btvmewskyrcrukbc, length = 16, age = 1751, Fraction = 0.125
tree: name = hl, length = 2, age = 1344, Fraction = 0.0
flower: name = vgrtkositqhxebyg, length = 16, type = Type.HOME, Fraction = 0.1875
bush: name = qzausdmvqcx, length = 11, month = Month.MAY, Fraction = 0.18181818181818182
tree: name = h, length = 1, age = 1267, Fraction = 0.0
flower: name = ykaunzqklerw, length = 12, type = Type.HOME, Fraction = 0.25
tree: name = d, length = 1, age = 68, Fraction = 0.0
flower: name = wdqczoxhiukolehm, length = 16, type = Type.HOME, Fraction = 0.3125
flower: name = gnnzxdeoy, length = 9, type = Type.GARDEN, Fraction = 0.2222222222222222
tree: name = xougyirgfsh, length = 11, age = 1820, Fraction = 0.2727272727272727
bush: name = xqa, length = 3, month = Month.JULY, Fraction = 0.3333333333333333
bush: name = xrqlcubyrfaryumvppsl, length = 20, month = Month.MARCH, Fraction = 0.15
tree: name = uxpnlwhvxpn, length = 11, age = 1192, Fraction = 0.09090909090909091
bush: name = kpzw, length = 4, month = Month.DECEMBER, Fraction = 0.0
flower: name = bbmclcdbjhz, length = 11, type = Type.GARDEN, Fraction = 0.0
flower: name = ixpvtulgvnhdcfrp, length = 16, type = Type.HOME, Fraction = 0.125
flower: name = psimwqbsfgbhsknukq, length = 18, type = Type.WILD, Fraction = 0.1111111111111111
tree: name = yrv, length = 3, age = 857, Fraction = 0.0
bush: name = yztnmasekzyqeo, length = 14, month = Month.SEPTEMBER, Fraction = 0.2857142857142857
bush: name = klrokmuniqzaeeseo, length = 17, month = Month.JULY, Fraction = 0.47058823529411764
bush: name = teamrjfstzrpbepyslem, length = 20, month = Month.AUGUST, Fraction = 0.2
flower: name = mgxtgiylsfiqaphlkes, length = 19, type = Type.HOME, Fraction = 0.21052631578947367
tree: name = zwwuxonrxvucubhaftbm, length = 20, age = 1915, Fraction = 0.25
bush: name = clojnkhuhrrtockoklt, length = 19, month = Month.JANUARY, Fraction = 0.21052631578947367
bush: name = mnegkfflpdkkahe, length = 15, month = Month.JUNE, Fraction = 0.2
bush: name = maxinahdcfyoes, length = 14, month = Month.NOVEMBER, Fraction = 0.35714285714285715
flower: name = zpbzhcbgeqdfyuzq, length = 16, type = Type.WILD, Fraction = 0.125
tree: name = iklwuaakyf, length = 10, age = 1912, Fraction = 0.4
bush: name = ezxqsvvdvxecuufnj, length = 17, month = Month.FEBRUARY, Fraction = 0.23529411764705882
bush: name = wgzh, length = 4, month = Month.JUNE, Fraction = 0.0
flower: name = ccc, length = 3, type = Type.HOME, Fraction = 0.0
tree: name = gx, length = 2, age = 1222, Fraction = 0.0
flower: name = abtugsy, length = 7, type = Type.HOME, Fraction = 0.2857142857142857
bush: name = qyxybf, length = 6, month = Month.SEPTEMBER, Fraction = 0.0
tree: name = vlechquzhor, length = 11, age = 1013, Fraction = 0.2727272727272727
flower: name = ycelnisyzcpippy, length = 15, type = Type.GARDEN, Fraction = 0.2
tree: name = xjzopfchcyffb, length = 13, age = 508, Fraction = 0.07692307692307693
bush: name = b, length = 1, month = Month.AUGUST, Fraction = 0.0
tree: name = tqe, length = 3, age = 1271, Fraction = 0.3333333333333333
tree: name = rttmgzmufypjykgwkgri, length = 20, age = 432, Fraction = 0.1
flower: name = wwliekwhq, length = 9, type = Type.HOME, Fraction = 0.2222222222222222
tree: name = tviamttliabn, length = 12, age = 1299, Fraction = 0.3333333333333333
tree: name = rtluuiwnzvxxxaqlqhab, length = 20, age = 407, Fraction = 0.25
tree: name = alxtwyznk, length = 9, age = 1528, Fraction = 0.1111111111111111
tree: name = ufikgq, length = 6, age = 1467, Fraction = 0.3333333333333333
tree: name = clsiveslcvp, length = 11, age = 1676, Fraction = 0.18181818181818182
tree: name = unys, length = 4, age = 208, Fraction = 0.25
tree: name = rm, length = 2, age = 726, Fraction = 0.0
tree: name = adsdsvszfutzbhfz, length = 16, age = 507, Fraction = 0.125
flower: name = dxswuitjyk, length = 10, type = Type.GARDEN, Fraction = 0.2
bush: name = msmd, length = 4, month = Month.JUNE, Fraction = 0.0
tree: name = qutlorkpjdhqgpiv, length = 16, age = 1782, Fraction = 0.1875
flower: name = grnp, length = 4, type = Type.GARDEN, Fraction = 0.0
bush: name = mz, length = 2, month = Month.SEPTEMBER, Fraction = 0.0
flower: name = xes, length = 3, type = Type.WILD, Fraction = 0.3333333333333333
flower: name = m, length = 1, type = Type.GARDEN, Fraction = 0.0
flower: name = opksllxpjtqfdmxgiwy, length = 19, type = Type.GARDEN, Fraction = 0.10526315789473684
flower: name = g, length = 1, type = Type.HOME, Fraction = 0.0
bush: name = epzfbncz, length = 8, month = Month.SEPTEMBER, Fraction = 0.125
bush: name = lkslmfbqkwmthezo, length = 16, month = Month.MAY, Fraction = 0.125
tree: name = zjnbfa, length = 6, age = 1987, Fraction = 0.16666666666666666
tree: name = a, length = 1, age = 1243, Fraction = 1.0
tree: name = qetsxcwpnlogmuupokf, length = 19, age = 1901, Fraction = 0.2631578947368421
bush: name = z, length = 1, month = Month.SEPTEMBER, Fraction = 0.0
tree: name = rfgiuv, length = 6, age = 329, Fraction = 0.3333333333333333
bush: name = ehdxj, length = 5, month = Month.APRIL, Fraction = 0.2
bush: name = hhoyogqo, length = 8, month = Month.APRIL, Fraction = 0.375
bush: name = ktvobe, length = 6, month = Month.MAY, Fraction = 0.3333333333333333
bush: name = iooopp, length = 6, month = Month.MARCH, Fraction = 0.6666666666666666
flower: name = upbaxfrybd, length = 10, type = Type.WILD, Fraction = 0.2
tree: name = hxkztbrmogshxbip, length = 16, age = 708, Fraction = 0.125
flower: name = ehdgze, length = 6, type = Type.WILD, Fraction = 0.3333333333333333
tree: name = jdfmmollumcghbanbip, length = 19, age = 496, Fraction = 0.21052631578947367
tree: name = crjoy, length = 5, age = 120, Fraction = 0.2
bush: name = lwhklvatcaydbqexpxhu, length = 20, month = Month.FEBRUARY, Fraction = 0.2
tree: name = gqgxg, length = 5, age = 1727, Fraction = 0.0
flower: name = ikuqlzqckrlcofa, length = 15, type = Type.HOME, Fraction = 0.26666666666666666
flower: name = jpmam, length = 5, type = Type.HOME, Fraction = 0.2
tree: name = xafgkrzchr, length = 10, age = 1900, Fraction = 0.1
tree: name = mwfsqyudxmeishk, length = 15, age = 1203, Fraction = 0.2
flower: name = cl, length = 2, type = Type.WILD, Fraction = 0.0
flower: name = gmowcn, length = 6, type = Type.GARDEN, Fraction = 0.16666666666666666
flower: name = vrnoobvd, length = 8, type = Type.HOME, Fraction = 0.25
bush: name = rmpdurv, length = 7, month = Month.DECEMBER, Fraction = 0.14285714285714285
flower: name = ukllzsuea, length = 9, type = Type.GARDEN, Fraction = 0.4444444444444444
tree: name = gfammgmcqzdcek, length = 14, age = 473, Fraction = 0.14285714285714285
flower: name = vdzohnjmreovpzfge, length = 17, type = Type.HOME, Fraction = 0.23529411764705882
tree: name = kdiioeckcl, length = 10, age = 1389, Fraction = 0.4
flower: name = tnrdscparvwzeyi, length = 15, type = Type.HOME, Fraction = 0.2
bush: name = yrptcgr, length = 7, month = Month.JULY, Fraction = 0.0
tree: name = ldpkqhkvrfzyf, length = 13, age = 950, Fraction = 0.0
flower: name = orjcub, length = 6, type = Type.HOME, Fraction = 0.3333333333333333
bush: name = l, length = 1, month = Month.OCTOBER, Fraction = 0.0
flower: name = vuokufl, length = 7, type = Type.WILD, Fraction = 0.42857142857142855
tree: name = foyynu, length = 6, age = 868, Fraction = 0.3333333333333333
tree: name = nsnmpimhngvhufki, length = 16, age = 934, Fraction = 0.1875
tree: name = uvayglxudzzimvpgdrck, length = 20, age = 415, Fraction = 0.2
tree: name = petq, length = 4, age = 1127, Fraction = 0.25
flower: name = fsnvunhxetafkejaxk, length = 18, type = Type.WILD, Fraction = 0.2777777777777778
bush: name = xybxvye, length = 7, month = Month.OCTOBER, Fraction = 0.14285714285714285
flower: name = xrvpckkkurttao, length = 14, type = Type.WILD, Fraction = 0.21428571428571427
tree: name = jiihvgknrk, length = 10, age = 462, Fraction = 0.2
bush: name = cdsvmthgjfkteaajlczm, length = 20, month = Month.MAY, Fraction = 0.15
flower: name = cjraimavqrn, length = 11, type = Type.GARDEN, Fraction = 0.2727272727272727
tree: name = wtenzewvsutro, length = 13, age = 823, Fraction = 0.3076923076923077
bush: name = hlueiowm, length = 8, month = Month.DECEMBER, Fraction = 0.5
tree: name = wdqwfqbwhoccpt, length = 14, age = 1032, Fraction = 0.07142857142857142
flower: name = sqdontgzo, length = 9, type = Type.WILD, Fraction = 0.2222222222222222
tree: name = ijzwb, length = 5, age = 547, Fraction = 0.2
tree: name = fmswomcbbnxjnk, length = 14, age = 1440, Fraction = 0.07142857142857142
bush: name = evj, length = 3, month = Month.NOVEMBER, Fraction = 0.3333333333333333
flower: name = atnbsefihk, length = 10, type = Type.WILD, Fraction = 0.3
tree: name = pbkwhnlfwcczmu, length = 14, age = 893, Fraction = 0.07142857142857142
flower: name = vyncdxugkzvqhiux, length = 16, type = Type.HOME, Fraction = 0.1875
bush: name = tqvigocsrd, length = 10, month = Month.DECEMBER, Fraction = 0.2
tree: name = rqaasvbe, length = 8, age = 58, Fraction = 0.375
flower: name = locqinbwhlla, length = 12, type = Type.GARDEN, Fraction = 0.25
tree: name = ufhdpkfzzsn, length = 11, age = 1453, Fraction = 0.09090909090909091
tree: name = ngqamtqxogzchn, length = 14, age = 1876, Fraction = 0.14285714285714285
bush: name = tw, length = 2, month = Month.DECEMBER, Fraction = 0.0
flower: name = rfhhrjhyaj, length = 10, type = Type.GARDEN, Fraction = 0.1
tree: name = ztdimserkyuizon, length = 15, age = 1183, Fraction = 0.3333333333333333
flower: name = bjkqzoewgpbp, length = 12, type = Type.WILD, Fraction = 0.16666666666666666
bush: name = frjadmhfyiatrnaxqlb, length = 19, month = Month.JULY, Fraction = 0.21052631578947367
tree: name = jrhzzwrmixczkbisrbpa, length = 20, age = 60, Fraction = 0.15
bush: name = fqymrjontutjpi, length = 14, month = Month.NOVEMBER, Fraction = 0.21428571428571427
bush: name = ynufeuakwqditmdqrqbb, length = 20, month = Month.APRIL, Fraction = 0.25
tree: name = dggpqtggfsju, length = 12, age = 454, Fraction = 0.08333333333333333
flower: name = xb, length = 2, type = Type.HOME, Fraction = 0.0
flower: name = sd, length = 2, type = Type.WILD, Fraction = 0.0
flower: name = laswaoglfwwexbr, length = 15, type = Type.WILD, Fraction = 0.26666666666666666
tree: name = cwduceby, length = 8, age = 61, Fraction = 0.25
tree: name = sfw, length = 3, age = 438, Fraction = 0.0
tree: name = zqjmyrmnvdzxtockutq, length = 19, age = 392, Fraction = 0.10526315789473684
bush: name = klnkixoxjkbxmsm, length = 15, month = Month.JANUARY, Fraction = 0.13333333333333333
tree: name = nxwg, length = 4, age = 442, Fraction = 0.0
bush: name = zmrasjomnhsu, length = 12, month = Month.JANUARY, Fraction = 0.25
flower: name = fjjxiebytjixppd, length = 15, type = Type.HOME, Fraction = 0.2
flower: name = mvblcfiyhus, length = 11, type = Type.WILD, Fraction = 0.18181818181818182
tree: name = whg, length = 3, age = 560, Fraction = 0.0
bush: name = ks, length = 2, month = Month.OCTOBER, Fraction = 0.0
flower: name = fkoxehhqaxeloiormlr, length = 19, type = Type.WILD, Fraction = 0.3684210526315789
tree: name = fujcrsiormjpwfogn, length = 17, age = 1367, Fraction = 0.23529411764705882
flower: name = bnfgzcwdjhwdknzodpdq, length = 20, type = Type.GARDEN, Fraction = 0.05
bush: name = scwqyrhmdjrzopgz, length = 16, month = Month.NOVEMBER, Fraction = 0.0625
tree: name = ysucizifklyvlurvhc, length = 18, age = 1538, Fraction = 0.2222222222222222
bush: name = nghuufe, length = 7, month = Month.NOVEMBER, Fraction = 0.42857142857142855
flower: name = cljrm, length = 5, type = Type.GARDEN, Fraction = 0.0
bush: name = ulgpddjad, length = 9, month = Month.AUGUST, Fraction = 0.2222222222222222
bush: name = ziclrbkm, length = 8, month = Month.APRIL, Fraction = 0.125
tree: name = qvikbxmhbm, length = 10, age = 1058, Fraction = 0.1
bush: name = vzjrvdxggwysiooxhzfw, length = 20, month = Month.APRIL, Fraction = 0.15
flower: name = jdmhghjjjappgncwrc, length = 18, type = Type.WILD, Fraction = 0.05555555555555555
bush: name = uipmqsushjhdbv, length = 14, month = Month.JULY, Fraction = 0.21428571428571427
bush: name = duwggajfbnojksi, length = 15, month = Month.NOVEMBER, Fraction = 0.26666666666666666
bush: name = hxohibzfp, length = 9, month = Month.JANUARY, Fraction = 0.2222222222222222
bush: name = dqiljjkfsjk, length = 11, month = Month.MARCH, Fraction = 0.09090909090909091
bush: name = vrxfgsjickxnmuuoiix, length = 19, month = Month.JANUARY, Fraction = 0.3157894736842105
bush: name = hcdgzozqnazxmmew, length = 16, month = Month.DECEMBER, Fraction = 0.1875
bush: name = fxtnokjqqgmk, length = 12, month = Month.OCTOBER, Fraction = 0.08333333333333333
flower: name = xohpletsbede, length = 12, type = Type.WILD, Fraction = 0.3333333333333333
bush: name = paddjsputckqt, length = 13, month = Month.MARCH, Fraction = 0.15384615384615385
tree: name = vip, length = 3, age = 1861, Fraction = 0.3333333333333333
flower: name = dpkt, length = 4, type = Type.WILD, Fraction = 0.0
flower: name = xhznmelggoad, length = 12, type = Type.GARDEN, Fraction = 0.25
bush: name = infqxt, length = 6, month = Month.OCTOBER, Fraction = 0.16666666666666666
bush: name = irobrqckmhdtt, length = 13, month = Month.FEBRUARY, Fraction = 0.15384615384615385
bush: name = hiah, length = 4, month = Month.MARCH, Fraction = 0.5
bush: name = absv, length = 4, month = Month.OCTOBER, Fraction = 0.25
tree: name = xh, length = 2, age = 171, Fraction = 0.0
flower: name = dgutbqazuhv, length = 11, type = Type.WILD, Fraction = 0.2727272727272727
bush: name = ymdqucqpgdwijhlaz, length = 17, month = Month.OCTOBER, Fraction = 0.17647058823529413
bush: name = bscqawxvgtsfdgno, length = 16, month = Month.AUGUST, Fraction = 0.125
bush: name = ghkqovfuiwjuzmw, length = 15, month = Month.OCTOBER, Fraction = 0.26666666666666666
flower: name = zqqxzsg, length = 7, type = Type.WILD, Fraction = 0.0
bush: name = ugmlciw, length = 7, month = Month.SEPTEMBER, Fraction = 0.2857142857142857
tree: name = avdbtvpmrscw, length = 12, age = 1987, Fraction = 0.08333333333333333
flower: name = bbirxmilrmxmzywix, length = 17, type = Type.HOME, Fraction = 0.17647058823529413
tree: name = lujcxym, length = 7, age = 1830, Fraction = 0.14285714285714285
bush: name = nrk, length = 3, month = Month.JANUARY, Fraction = 0.0
flower: name = qeqjdser, length = 8, type = Type.WILD, Fraction = 0.25
tree: name = nlxxpmmgwbyed, length = 13, age = 453, Fraction = 0.07692307692307693
flower: name = ihrjvrbmlrpxds, length = 14, type = Type.GARDEN, Fraction = 0.07142857142857142
tree: name = rmsefipblhxh, length = 12, age = 1118, Fraction = 0.16666666666666666
tree: name = raltctoyxwfnfkvatxpu, length = 20, age = 122, Fraction = 0.2
bush: name = ryodsholrdq, length = 11, month = Month.AUGUST, Fraction = 0.18181818181818182
bush: name = btdvfaptzczyvsufgy, length = 18, month = Month.JUNE, Fraction = 0.1111111111111111
bush: name = hwalfrrqzx, length = 10, month = Month.OCTOBER, Fraction = 0.1
tree: name = hdbpaflffix, length = 11, age = 678, Fraction = 0.18181818181818182
tree: name = hgaw, length = 4, age = 659, Fraction = 0.25
tree: name = aygutk, length = 6, age = 946, Fraction = 0.3333333333333333
flower: name = yngsjes, length = 7, type = Type.HOME, Fraction = 0.14285714285714285
flower: name = nkllwunrn, length = 9, type = Type.WILD, Fraction = 0.1111111111111111
flower: name = yvnjuslrzt, length = 10, type = Type.HOME, Fraction = 0.1
flower: name = ubbsgbdkzf, length = 10, type = Type.GARDEN, Fraction = 0.1
bush: name = mpjkhrkbhfpulodb, length = 16, month = Month.DECEMBER, Fraction = 0.125
flower: name = uyafyhwapvgtaqtlmjcp, length = 20, type = Type.HOME, Fraction = 0.2
flower: name = wptsjkapjxks, length = 12, type = Type.WILD, Fraction = 0.08333333333333333
bush: name = roorvepxx, length = 9, month = Month.APRIL, Fraction = 0.3333333333333333
flower: name = opnpwxezsfasqpr, length = 15, type = Type.HOME, Fraction = 0.2
flower: name = covqmtbavzupf, length = 13, type = Type.WILD, Fraction = 0.23076923076923078
flower: name = askkxshgmwvlzpf, length = 15, type = Type.HOME, Fraction = 0.06666666666666667
bush: name = cyiolituensuiml, length = 15, month = Month.NOVEMBER, Fraction = 0.4666666666666667
tree: name = gzeitbnqjxd, length = 11, age = 1031, Fraction = 0.18181818181818182
flower: name = nu, length = 2, type = Type.GARDEN, Fraction = 0.5
tree: name = sm, length = 2, age = 1695, Fraction = 0.0
bush: name = qqm, length = 3, month = Month.SEPTEMBER, Fraction = 0.0
tree: name = glwfnzsxsfyefziqbneo, length = 20, age = 1976, Fraction = 0.2
flower: name = nsfudrksdppdy, length = 13, type = Type.GARDEN, Fraction = 0.07692307692307693
flower: name = kdfvpb, length = 6, type = Type.WILD, Fraction = 0.0
tree: name = dwtcbixxwm, length = 10, age = 292, Fraction = 0.1
bush: name = mgrd, length = 4, month = Month.MARCH, Fraction = 0.0
flower: name = woo, length = 3, type = Type.GARDEN, Fraction = 0.6666666666666666
bush: name = yxkztmwwijgniftm, length = 16, month = Month.DECEMBER, Fraction = 0.125
flower: name = jkrmqba, length = 7, type = Type.HOME, Fraction = 0.14285714285714285
flower: name = bwvmlji, length = 7, type = Type.HOME, Fraction = 0.14285714285714285
flower: name = virni, length = 5, type = Type.WILD, Fraction = 0.4
bush: name = cnikpqwwkpxbya, length = 14, month = Month.DECEMBER, Fraction = 0.14285714285714285
bush: name = srlxadeslwzojkq, length = 15, month = Month.APRIL, Fraction = 0.2
bush: name = rczqfcofgw, length = 10, month = Month.JUNE, Fraction = 0.1
flower: name = xrpuobtqnnvkxbd, length = 15, type = Type.WILD, Fraction = 0.13333333333333333
flower: name = fimalqxkwzkxynwy, length = 16, type = Type.HOME, Fraction = 0.125
tree: name = qbftkizjxilzj, length = 13, age = 1354, Fraction = 0.15384615384615385
tree: name = jiexby, length = 6, age = 770, Fraction = 0.3333333333333333
flower: name = kdrghvzifgzoy, length = 13, type = Type.HOME, Fraction = 0.15384615384615385
flower: name = xgtftsshgrhqefc, length = 15, type = Type.HOME, Fraction = 0.06666666666666667
flower: name = e, length = 1, type = Type.WILD, Fraction = 1.0
bush: name = vynqmpqkrq, length = 10, month = Month.APRIL, Fraction = 0.0
flower: name = rr, length = 2, type = Type.GARDEN, Fraction = 0.0
bush: name = gt, length = 2, month = Month.NOVEMBER, Fraction = 0.0
bush: name = hbtct, length = 5, month = Month.APRIL, Fraction = 0.0
tree: name = x, length = 1, age = 816, Fraction = 0.0
flower: name = ndx, length = 3, type = Type.HOME, Fraction = 0.0
flower: name = llvyyf, length = 6, type = Type.GARDEN, Fraction = 0.0
tree: name = iuaqmdbzdhwmiy, length = 14, age = 1398, Fraction = 0.2857142857142857
tree: name = zzknbqpkxpaneykum, length = 17, age = 427, Fraction = 0.17647058823529413
tree: name = iclbiy, length = 6, age = 11, Fraction = 0.3333333333333333
tree: name = k, length = 1, age = 1598, Fraction = 0.0
flower: name = vw, length = 2, type = Type.HOME, Fraction = 0.0
bush: name = pynljidqfbbiivof, length = 16, month = Month.JUNE, Fraction = 0.25
bush: name = qwqwktmu, length = 8, month = Month.OCTOBER, Fraction = 0.125
bush: name = ynzgtsoyecct, length = 12, month = Month.MARCH, Fraction = 0.16666666666666666
tree: name = kq, length = 2, age = 633, Fraction = 0.0
bush: name = bgh, length = 3, month = Month.JULY, Fraction = 0.0
tree: name = mhwq, length = 4, age = 1293, Fraction = 0.0
flower: name = bvg, length = 3, type = Type.WILD, Fraction = 0.0
bush: name = chbabmhmroxonulqpd, length = 18, month = Month.APRIL, Fraction = 0.2222222222222222
flower: name = mjohumjtwripjbaaofsd, length = 20, type = Type.WILD, Fraction = 0.3
flower: name = flbjrdjvqpbq, length = 12, type = Type.GARDEN, Fraction = 0.0
bush: name = u, length = 1, month = Month.SEPTEMBER, Fraction = 1.0
tree: name = xdohe, length = 5, age = 1269, Fraction = 0.4
tree: name = yrdbnrrfysfvyr, length = 14, age = 1711, Fraction = 0.0
flower: name = nyq, length = 3, type = Type.HOME, Fraction = 0.0
bush: name = mshpzhijzdxalh, length = 14, month = Month.OCTOBER, Fraction = 0.14285714285714285
tree: name = r, length = 1, age = 1885, Fraction = 0.0
flower: name = bonfzvaqcjqbtbm, length = 15, type = Type.GARDEN, Fraction = 0.13333333333333333
tree: name = whuqaknxx, length = 9, age = 1386, Fraction = 0.2222222222222222
tree: name = usdbcnovltczg, length = 13, age = 1021, Fraction = 0.15384615384615385
flower: name = uqucutgjye, length = 10, type = Type.HOME, Fraction = 0.4
bush: name = ipkfklffphljmqfwdk, length = 18, month = Month.JUNE, Fraction = 0.05555555555555555
bush: name = gsodhwavzzfhmhra, length = 16, month = Month.DECEMBER, Fraction = 0.1875
tree: name = jochhqusiesu, length = 12, age = 353, Fraction = 0.4166666666666667
tree: name = hubgmlppnxabrjpn, length = 16, age = 1669, Fraction = 0.125
flower: name = uborqlnoahfw, length = 12, type = Type.GARDEN, Fraction = 0.3333333333333333
bush: name = aqiobsopwifeafkjzcr, length = 19, month = Month.OCTOBER, Fraction = 0.3684210526315789
flower: name = yomohzzjtdrwpb, length = 14, type = Type.WILD, Fraction = 0.14285714285714285
bush: name = mvr, length = 3, month = Month.SEPTEMBER, Fraction = 0.0
bush: name = ffbluiforumnjfh, length = 15, month = Month.MARCH, Fraction = 0.26666666666666666
bush: name = unosfba, length = 7, month = Month.OCTOBER, Fraction = 0.42857142857142855
bush: name = ycyyhyyubkg, length = 11, month = Month.FEBRUARY, Fraction = 0.09090909090909091
tree: name = uhnjhakujjiz, length = 12, age = 1557, Fraction = 0.3333333333333333
tree: name = mywkzlaoulnycvcgg, length = 17, age = 1398, Fraction = 0.17647058823529413
flower: name = mfjbvdbh, length = 8, type = Type.HOME, Fraction = 0.0
tree: name = nafxzypsz, length = 9, age = 549, Fraction = 0.1111111111111111
flower: name = qhaqqvloblyeewm, length = 15, type = Type.HOME, Fraction = 0.26666666666666666
bush: name = rrfvuhyqxvnwxo, length = 14, month = Month.APRIL, Fraction = 0.14285714285714285
tree: name = mompmtpyz, length = 9, age = 360, Fraction = 0.1111111111111111
tree: name = vwrgdorg, length = 8, age = 201, Fraction = 0.125
tree: name = vgtdehjmmosbueyqoji, length = 19, age = 1433, Fraction = 0.3157894736842105
tree: name = hftidnarl, length = 9, age = 941, Fraction = 0.2222222222222222
flower: name = xxigfxtcugjnaygan, length = 17, type = Type.WILD, Fraction = 0.23529411764705882
flower: name = znogxn, length = 6, type = Type.GARDEN, Fraction = 0.16666666666666666
flower: name = mvt, length = 3, type = Type.GARDEN, Fraction = 0.0
flower: name = ckulzpygiarxhj, length = 14, type = Type.WILD, Fraction = 0.21428571428571427
tree: name = hklnc, length = 5, age = 1511, Fraction = 0.0
flower: name = meerflalrqaotqal, length = 16, type = Type.HOME, Fraction = 0.375
tree: name = toibmgcb, length = 8, age = 1592, Fraction = 0.25
bush: name = ygcbup, length = 6, month = Month.APRIL, Fraction = 0.16666666666666666
flower: name = pvbieo, length = 6, type = Type.GARDEN, Fraction = 0.5
tree: name = q, length = 1, age = 958, Fraction = 0.0
bush: name = vqogiqxigeyktu, length = 14, month = Month.SEPTEMBER, Fraction = 0.35714285714285715
bush: name = byiqekuafbpnkuafhnuu, length = 20, month = Month.MARCH, Fraction = 0.4
tree: name = kfqwckxs, length = 8, age = 1537, Fraction = 0.0
flower: name = cgkelrjstn, length = 10, type = Type.WILD, Fraction = 0.1
tree: name = oxyfga, length = 6, age = 24, Fraction = 0.3333333333333333
tree: name = eiv, length = 3, age = 1593, Fraction = 0.6666666666666666
