Container stores 5000 plants:
tree: name = rrpkztbnaxly, length = 12, age = 1554, Fraction = 0.08333333333333333
flower: name = hrjqxqm, length = 7, type = Type.GARDEN, Fraction = 0.0
bush: name = t, length = 1, month = Month.MAY, Fraction = 0.0
bush: name = drazbdaiecempveinw, length = 18, month = Month.MARCH, Fraction = 0.3888888888888889
bush: name = tvbqpjfpr, length = 9, month = Month.JUNE, Fraction = 0.0
bush: name = upddyl, length = 6, month = Month.MARCH, Fraction = 0.16666666666666666
flower: name = wyppwgzuwbrxwyrbk, length = 17, type = Type.HOME, Fraction = 0.058823529411764705
tree: name = vqvwgeuihiqfcr, length = 14, age = 1287, Fraction = 0.2857142857142857
bush: name = bcilpb, length = 6, month = Month.MARCH, Fraction = 0.16666666666666666
bush: name = aovrezzqnqlfbrgfwd, length = 18, month = Month.JANUARY, Fraction = 0.16666666666666666
tree: name = mhb, length = 3, age = 789, Fraction = 0.0
tree: name = uemmqqmp, length = 8, age = 762, Fraction = 0.25
tree: name = ygyixjqnpckdgbzh, length = 16, age = 704, Fraction = 0.0625
tree: name = qw, length = 2, age = 22, Fraction = 0.0
tree: name = g, length = 1, age = 744, Fraction = 0.0
tree: name = aptbvttvmaesbckzgn, length = 18, age = 18, Fraction = 0.16666666666666666
bush: name = mixivfrpjy, length = 10, month = Month.AUGUST, Fraction = 0.2
tree: name = rra, length = 3, age = 546, Fraction = 0.3333333333333333
bush: name = zkcqrxhfpnxjwnrppthx, length = 20, month = Month.JUNE, Fraction = 0.0
tree: name = cylawpfdjcfchrqvyjpi, length = 20, age = 301, Fraction = 0.1
tree: name = dtmpijpr, length = 8, age = 1283, Fraction = 0.125
flower: name = lnularwalieakynpup, length = 18, type = Type.HOME, Fraction = 0.3888888888888889
tree: name = nhyqhw, length = 6, age = 1124, Fraction = 0.0
tree: name = rtnz, length = 4, age = 778, Fraction = 0.0
flower: name = zxf, length = 3, type = Type.WILD, Fraction = 0.0
flower: name = ehwliujkhawyjvzqpd, length = 18, type = Type.GARDEN, Fraction = 0.2222222222222222
bush: name = fnljookkhjtoojxs, length = 16, month = Month.MAY, Fraction = 0.25
bush: name = nfya, length = 4, month = Month.AUGUST, Fraction = 0.25
flower: name = xrdfebdxywcc, length = 12, type = Type.GARDEN, Fraction = 0.08333333333333333
bush: name = qpxlrrezu, length = 9, month = Month.MARCH, Fraction = 0.2222222222222222
flower: name = odtnsgfnuoumuybboz, length = 18, type = Type.HOME, Fraction = 0.3333333333333333
flower: name = dtmnobu, length = 7, type = Type.WILD, Fraction = 0.2857142857142857
flower: name = oo, length = 2, type = Type.HOME, Fraction = 1.0
tree: name = dack, length = 4, age = 1662, Fraction = 0.25
tree: name = z, length = 1, age = 1279, Fraction = 0.0
